Product ID,Category,Product Name,Description,Price (INR),Photo URL
P0001,Tops,Maroon Cotton Ruffle Top,"A relaxed fit ruffle top crafted in soft cotton fabric, featuring a flattering silhouette. Perfect for weekend brunches, this maroon piece pairs easily with your everyday wardrobe.",849,https://picsum.photos/seed/P0001/500/650
P0002,Tops,Maroon Rayon Shirt Blouse,"A tailored fit shirt blouse crafted in soft rayon fabric, featuring delicate embroidery. Perfect for casual outings, this maroon piece pairs easily with your everyday wardrobe.",729,https://picsum.photos/seed/P0002/500/650
P0003,Tops,Blush Pink Linen Bodysuit,"A loose fit bodysuit crafted in soft linen fabric, featuring gathered detailing. Perfect for casual outings, this blush pink piece pairs easily with your everyday wardrobe.",999,https://picsum.photos/seed/P0003/500/650
P0004,Tops,Peach Polyester Blend Crop Top,"A tailored fit crop top crafted in soft polyester blend fabric, featuring breathable fabric. Perfect for layering, this peach piece pairs easily with your everyday wardrobe.",509,https://picsum.photos/seed/P0004/500/650
P0005,Tops,Olive Polyester Blend Tunic Top,"A relaxed fit tunic top crafted in soft polyester blend fabric, featuring a flattering silhouette. Perfect for festive occasions, this olive piece pairs easily with your everyday wardrobe.",1359,https://picsum.photos/seed/P0005/500/650
P0006,Tops,Maroon Rayon Halter Top,"A regular fit halter top crafted in soft rayon fabric, featuring intricate zari work. Perfect for everyday wear, this maroon piece pairs easily with your everyday wardrobe.",1169,https://picsum.photos/seed/P0006/500/650
P0007,Tops,White Satin Bodysuit,"A regular fit bodysuit crafted in soft satin fabric, featuring a subtle sheen. Perfect for wedding functions, this white piece pairs easily with your everyday wardrobe.",1249,https://picsum.photos/seed/P0007/500/650
P0008,Tops,Magenta Chiffon Shirt Blouse,"A slim fit shirt blouse crafted in soft chiffon fabric, featuring delicate embroidery. Perfect for office wear, this magenta piece pairs easily with your everyday wardrobe.",1079,https://picsum.photos/seed/P0008/500/650
P0009,Tops,Emerald Green Rayon Cold Shoulder Top,"A slim fit cold shoulder top crafted in soft rayon fabric, featuring minimal styling. Perfect for office wear, this emerald green piece pairs easily with your everyday wardrobe.",1209,https://picsum.photos/seed/P0009/500/650
P0010,Tops,Wine Chiffon Peplum Top,"A relaxed fit peplum top crafted in soft chiffon fabric, featuring a flattering silhouette. Perfect for everyday wear, this wine piece pairs easily with your everyday wardrobe.",1179,https://picsum.photos/seed/P0010/500/650
P0011,Tops,Navy Georgette Bodysuit,"A slim fit bodysuit crafted in soft georgette fabric, featuring a comfortable stretch. Perfect for festive occasions, this navy piece pairs easily with your everyday wardrobe.",1469,https://picsum.photos/seed/P0011/500/650
P0012,Tops,Beige Linen Tie-Front Top,"A relaxed fit tie-front top crafted in soft linen fabric, featuring a flattering silhouette. Perfect for casual outings, this beige piece pairs easily with your everyday wardrobe.",579,https://picsum.photos/seed/P0012/500/650
P0013,Tops,Charcoal Grey Polyester Blend Button-Down Shirt,"A regular fit button-down shirt crafted in soft polyester blend fabric, featuring contrast piping. Perfect for weekend brunches, this charcoal grey piece pairs easily with your everyday wardrobe.",1299,https://picsum.photos/seed/P0013/500/650
P0014,Tops,Blush Pink Satin Halter Top,"A tailored fit halter top crafted in soft satin fabric, featuring breathable fabric. Perfect for festive occasions, this blush pink piece pairs easily with your everyday wardrobe.",849,https://picsum.photos/seed/P0014/500/650
P0015,Tops,Sky Blue Crepe Ruffle Top,"A loose fit ruffle top crafted in soft crepe fabric, featuring contrast piping. Perfect for wedding functions, this sky blue piece pairs easily with your everyday wardrobe.",1519,https://picsum.photos/seed/P0015/500/650
P0016,Tops,Rust Orange Linen Peplum Top,"A loose fit peplum top crafted in soft linen fabric, featuring a subtle sheen. Perfect for date nights, this rust orange piece pairs easily with your everyday wardrobe.",619,https://picsum.photos/seed/P0016/500/650
P0017,Tops,Maroon Georgette Tie-Front Top,"A slim fit tie-front top crafted in soft georgette fabric, featuring contrast piping. Perfect for wedding functions, this maroon piece pairs easily with your everyday wardrobe.",659,https://picsum.photos/seed/P0017/500/650
P0018,Tops,Lavender Polyester Blend Shirt Blouse,"A tailored fit shirt blouse crafted in soft polyester blend fabric, featuring breathable fabric. Perfect for travel, this lavender piece pairs easily with your everyday wardrobe.",519,https://picsum.photos/seed/P0018/500/650
P0019,Tops,Maroon Crepe Sleeveless Top,"A relaxed fit sleeveless top crafted in soft crepe fabric, featuring breathable fabric. Perfect for office wear, this maroon piece pairs easily with your everyday wardrobe.",1609,https://picsum.photos/seed/P0019/500/650
P0020,Tops,Olive Satin Wrap Top,"A relaxed fit wrap top crafted in soft satin fabric, featuring hand-block prints. Perfect for travel, this olive piece pairs easily with your everyday wardrobe.",1789,https://picsum.photos/seed/P0020/500/650
P0021,Tops,Maroon Crepe Cold Shoulder Top,"A loose fit cold shoulder top crafted in soft crepe fabric, featuring a flattering silhouette. Perfect for layering, this maroon piece pairs easily with your everyday wardrobe.",889,https://picsum.photos/seed/P0021/500/650
P0022,Tops,Rust Orange Georgette Bodysuit,"A loose fit bodysuit crafted in soft georgette fabric, featuring contrast piping. Perfect for casual outings, this rust orange piece pairs easily with your everyday wardrobe.",1319,https://picsum.photos/seed/P0022/500/650
P0023,Tops,Teal Cotton Off-Shoulder Top,"A relaxed fit off-shoulder top crafted in soft cotton fabric, featuring a flattering silhouette. Perfect for evening parties, this teal piece pairs easily with your everyday wardrobe.",639,https://picsum.photos/seed/P0023/500/650
P0024,Tops,Sky Blue Rayon Off-Shoulder Top,"A tailored fit off-shoulder top crafted in soft rayon fabric, featuring gathered detailing. Perfect for office wear, this sky blue piece pairs easily with your everyday wardrobe.",819,https://picsum.photos/seed/P0024/500/650
P0025,Tops,Mustard Satin Bodysuit,"A slim fit bodysuit crafted in soft satin fabric, featuring gathered detailing. Perfect for evening parties, this mustard piece pairs easily with your everyday wardrobe.",1579,https://picsum.photos/seed/P0025/500/650
P0026,Tops,Blush Pink Linen Ruffle Top,"A relaxed fit ruffle top crafted in soft linen fabric, featuring a relaxed drape. Perfect for wedding functions, this blush pink piece pairs easily with your everyday wardrobe.",1449,https://picsum.photos/seed/P0026/500/650
P0027,Tops,Wine Satin Off-Shoulder Top,"A slim fit off-shoulder top crafted in soft satin fabric, featuring a subtle sheen. Perfect for weekend brunches, this wine piece pairs easily with your everyday wardrobe.",1359,https://picsum.photos/seed/P0027/500/650
P0028,Tops,Black Linen Shirt Blouse,"A slim fit shirt blouse crafted in soft linen fabric, featuring a subtle sheen. Perfect for casual outings, this black piece pairs easily with your everyday wardrobe.",649,https://picsum.photos/seed/P0028/500/650
