BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,ProductType
Insense,ankle length cotton blend womens night wear joggers - black,"28,30,32,34,36",1299.0,649.0,50.0,Lingerie&Nightwear-Women,Bottoms
Kraus,solid tencel comfort fit womens casual trousers - light blue,"28,34",1695.0,1525.0,10.0,Westernwear-Women,Bottoms
Wacoal,blended knit intimate wear womens panties - natural,"Large,Medium,Small,X-Large",595.0,416.0,30.0,Lingerie&Nightwear-Women,Bottoms
Stop,solid skinny fit polyester blend womens formal leggings - olive,"28,30,32,34",999.0,499.0,50.0,Westernwear-Women,Bottoms
Marie Claire,regular fit knee length polyester womens casual skirt - wine,32,1399.0,699.0,50.0,Westernwear-Women,Bottoms
Haute Curry,full length flex woven womens pants - grey,"Large,Medium,Small,X-Large",1299.0,649.0,50.0,Indianwear-Women,Bottoms
Crimsoune Club,slim mid thigh cotton womens casual wear shorts - white,"26,28,30,32,34",1199.0,479.0,60.0,Westernwear-Women,Bottoms
Spykar,cotton slim fit womens jeans - white,"26,28,30,32,34",2299.0,1609.0,30.0,Westernwear-Women,Bottoms
Altlife,regular fit thigh length cotton womens active wear shorts - lilac,"28,30,32,34,36",,499.0,0.0,Westernwear-Women,Bottoms
Rare,stripes regular fit polyester womens casual wear trousers - maroon,"Large,Medium,Small,X-Large",1499.0,599.0,60.0,Westernwear-Women,Bottoms
Kraus,clean look cotton wide fit womens jeans - blue,"28,30,32,34,36",1595.0,1435.0,10.0,Westernwear-Women,Bottoms
Varanga,viscose rayon womens casual trousers - white,"Medium,Small,XX-Large",1399.0,769.0,45.0,Indianwear-Women,Bottoms
Enamor,cotton blend womens intimate wear bikini panties - 106_multi,"XL,Large,Medium,Small,XX-Large",,529.0,0.0,Lingerie&Nightwear-Women,Bottoms
Madame,regular above knee cotton blend womens casual wear shorts - indigo,"26,28,30,32,34",1999.0,1399.0,30.0,Westernwear-Women,Bottoms
Aurelia,solid cotton lycra regular fit womens casual tights - blue,"Large,Medium,Small,X-Large",,599.0,0.0,Indianwear-Women,Bottoms
Puma,cotton mid rise relaxed fit womens athleisure pants - pink,"Large,Medium,Small,X-Large,X-Small",3999.0,2799.0,30.0,Westernwear-Women,Bottoms
Lanvin,womens a girl in capri edt 90 ml,Nan,5700.0,3990.0,30.0,Fragrance-Women,Bottoms
Indya,shraddha kapoor for indya maroon printed maxi-length flared skirt - maroon,"Large,Medium,Small,X-Large",3500.0,1750.0,50.0,Indianwear-Women,Bottoms
Kraus,womens solid pants - blue,"28,32",1599.0,799.0,50.0,Westernwear-Women,Bottoms
Kraus,crop fit crop cotton womens jeans - blue,"28,30,32,34,36,38",1895.0,947.0,50.0,Westernwear-Women,Bottoms
W,printed viscose regular fit womens festive parallel pants - ecru,"8,10,12,14,16",,1799.0,0.0,Indianwear-Women,Bottoms
Stop,solid straight fit cotton lycra womens casual wear pants - natural,"S,M,L,X-Small",899.0,359.0,60.0,Indianwear-Women,Bottoms
Mystere Paris,cotton regular fit womens activewear shorts - blue,"Large,Medium,Small",499.0,299.0,40.0,Lingerie&Nightwear-Women,Bottoms
Vero Moda,solid relaxed polyester womens casual wear pants - green,"Large,Medium,Small,X-Large,X-Small",2499.0,1749.0,30.0,Westernwear-Women,Bottoms
De Moza,regular fit regular length polyester womens skirt - bottle green,"Large,Medium,Small,X-Large,XX-Large",,1999.0,0.0,Westernwear-Women,Bottoms
Global Desi,solid viscose straight fit womens casual wear pants - teal,"XL,Large,Medium,Small",1699.0,1359.0,20.0,Indianwear-Women,Bottoms
Insense,printed cotton regular neck womens top and shorts set - grey,"Large,Medium,Small,X-Large,X-Small,XX-Large",1299.0,649.0,50.0,Lingerie&Nightwear-Women,Bottoms
Ritu Kumar,pique collar neck womens short top - multi,"Large,Medium,Small",,3900.0,0.0,Indianwear-Women,Bottoms
Kraus,mom fit ankle length cotton womens jeans - dark blue,"28,30,32,34,36",1895.0,1705.0,10.0,Westernwear-Women,Bottoms
W,womens solid tights - off white,"Large,Medium",,799.0,0.0,Westernwear-Women,Bottoms
Myshka,solid rayon womens regular length palazzo - black,"Large,Medium,Small,X-Large,XX-Large",1499.0,449.0,70.0,Indianwear-Women,Bottoms
Puma,polyester mid rise performance fit womens athleisure tights - rose,"Large,Medium,Small,X-Large,X-Small",2799.0,1959.0,30.0,Westernwear-Women,Bottoms
Dolce Crudo,womens collected fiction denim pant - blue,"26,28,32",2499.0,999.0,60.0,Westernwear-Women,Bottoms
Life,regular fit regular length cotton blend womens joggers - blue,"26,28,30,32,34,36",1299.0,649.0,50.0,Westernwear-Women,Bottoms
W,solid viscose regular fit womens straight pants - green,"6,8,10,14,16",,1299.0,0.0,Indianwear-Women,Bottoms
Kraus,womens high rise skinny jeans - ink blue,28,1895.0,947.0,50.0,Westernwear-Women,Bottoms
Zink London,embroidered cotton regular fit womens casual pants - multi,"Large,Medium,Small,X-Large",1899.0,1139.0,40.0,Westernwear-Women,Bottoms
Indya,maroon embroidered waist palazzo pants - maroon,"Large,Medium,Small,X-Large,X-Small",1950.0,975.0,50.0,Indianwear-Women,Bottoms
Fratini,regular fit above knee viscose blend womens casual skirt - off white,"26,28,30,32,34,36",,1199.0,0.0,Westernwear-Women,Bottoms
Myshka,solid rayon regular fit womens casual trousers - white,"Large,Medium,Small,X-Large,XX-Large",1299.0,584.0,55.0,Indianwear-Women,Bottoms
Stop,fitted full length cotton lycra womens leggings - mustard,"S,M,L,X-Large,X-Small",499.0,349.0,30.0,Indianwear-Women,Bottoms
Life,skinny fit ankle length denim womens jeans - black,"26,28,30,32,34,36",1499.0,749.0,50.0,Westernwear-Women,Bottoms
Kraus,regular fit ankle length cotton womens jeans - blue,"28,30,34",1695.0,1186.0,30.0,Westernwear-Women,Bottoms
Vero Moda,flared three quarter length polyester womens casual wear skirts - pink,"Large,Medium,Small,X-Large,X-Small",2799.0,2239.0,20.0,Westernwear-Women,Bottoms
W,printed viscose womens festive pants - ecru,"6,8,10,12,14,16",,1699.0,0.0,Indianwear-Women,Bottoms
Magre,solid polyester blend regular fit womens shorts - blue,"Small,X-Small",1690.0,676.0,60.0,Westernwear-Women,Bottoms
Stop,womens regular fit solid formal culottes - black,"26,28,30,32,36",,1299.0,0.0,Westernwear-Women,Bottoms
Insense,solid cotton lycra knitted womens bikini panties - multi,"Large,Medium,Small,X-Large,XX-Large",399.0,199.0,50.0,Lingerie&Nightwear-Women,Bottoms
Global Desi,womens regular fit solid trousers - natural,"Large,Medium,Small,X-Small",1999.0,1199.0,40.0,Westernwear-Women,Bottoms
De Moza,embroidered cotton regular fit womens palazzos - pink,"Large,Medium",,1499.0,0.0,Indianwear-Women,Bottoms
